UIAutomation 1.1.8 (Python 3.6.5, 64 bit)
2018-10-24 14:36:30.355 Function: main, Line: 78 -> Starts, Current Cursor Position: (1122, 468)
                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (98, 783, 99, 1033)    Name:     Handle: 0x0(0)    Depth: 5
                    ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 783, 1914, 1033)    Name:     Handle: 0x0(0)    Depth: 5
                    ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 783, 1914, 1033)    Name:     Handle: 0x0(0)    Depth: 5
                    ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 783, 1914, 1033)    Name:     Handle: 0x0(0)    Depth: 5
                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 720, 1920, 756)    Name:     Handle: 0x0(0)    Depth: 4
                    ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (22, 727, 44, 749)    Name:     Handle: 0x0(0)    Depth: 5
                    ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (65, 727, 87, 749)    Name:     Handle: 0x0(0)    Depth: 5
                    ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (108, 727, 130, 749)    Name:     Handle: 0x0(0)    Depth: 5
                    ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (151, 727, 173, 749)    Name:     Handle: 0x0(0)    Depth: 5
                    ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (194, 727, 216, 749)    Name:     Handle: 0x0(0)    Depth: 5
                    ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1598, 727, 1620, 749)    Name:     Handle: 0x0(0)    Depth: 5
                    ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1631, 727, 1653, 749)    Name:     Handle: 0x0(0)    Depth: 5
                    ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1664, 727, 1686, 749)    Name:     Handle: 0x0(0)    Depth: 5
                    ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1697, 727, 1719, 749)    Name:     Handle: 0x0(0)    Depth: 5
                    ControlType: CustomControl    ClassName:     AutomationId:     Rect: (1891, 727, 1913, 749)    Name:     Handle: 0x0(0)    Depth: 5
                        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (1893, 729, 1901, 747)    Name:     Handle: 0x0(0)    Depth: 6
                        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (1903, 729, 1911, 747)    Name:     Handle: 0x0(0)    Depth: 6
                    ControlType: CustomControl    ClassName:     AutomationId:     Rect: (1730, 727, 1880, 749)    Name:     Handle: 0x0(0)    Depth: 5
                        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (1761, 727, 1847, 749)    Name:     Handle: 0x0(0)    Depth: 6
                            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (1761, 737, 1847, 739)    Name:     Handle: 0x0(0)    Depth: 7
                            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (1761, 737, 1799, 739)    Name:     Handle: 0x0(0)    Depth: 7
                            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (1794, 733, 1804, 743)    Name:     Handle: 0x0(0)    Depth: 7
                        ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1730, 727, 1752, 749)    Name:     Handle: 0x0(0)    Depth: 6
                        ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1856, 727, 1878, 749)    Name:     Handle: 0x0(0)    Depth: 6
                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (100, 756, 1908, 790)    Name:     Handle: 0x0(0)    Depth: 4
                    ControlType: CustomControl    ClassName:     AutomationId:     Rect: (100, 756, 1908, 790)    Name:     Handle: 0x0(0)    Depth: 5
                        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (100, 756, 1908, 790)    Name:     Handle: 0x0(0)    Depth: 6
                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 756, 100, 790)    Name:     Handle: 0x0(0)    Depth: 4
                    ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (8, 763, 28, 783)    Name:     Handle: 0x0(0)    Depth: 5
                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (31, 756, 99, 790)    Name: Add Track    Handle: 0x0(0)    Depth: 5
                ControlType: ScrollBarControl    ClassName:     AutomationId:     Rect: (100, 1033, 1910, 1039)    Name:     Handle: 0x0(0)    Depth: 4
                ControlType: ScrollBarControl    ClassName:     AutomationId:     Rect: (1910, 789, 1916, 1033)    Name:     Handle: 0x0(0)    Depth: 4
                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (100, 775, 1908, 1033)    Name:     Handle: 0x0(0)    Depth: 4
                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (100, 775, 1908, 1033)    Name:     Handle: 0x0(0)    Depth: 4
    ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (0, 0, 1920, 30)    Name:     Handle: 0xC19DE(793054)    Depth: 1
        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 0, 1920, 30)    Name:     Handle: 0x0(0)    Depth: 2
            ControlType: TextControl    ClassName:     AutomationId:     Rect: (2, 2, 1922, 28)    Name:     Handle: 0x0(0)    Depth: 3
            ControlType: TextControl    ClassName:     AutomationId:     Rect: (0, 0, 6, 14)    Name:     Handle: 0x0(0)    Depth: 3
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1824, 2, 1854, 28)    Name:     Handle: 0x0(0)    Depth: 3
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1855, 2, 1885, 28)    Name:     Handle: 0x0(0)    Depth: 3
                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1855, 2, 1885, 28)    Name:     Handle: 0x0(0)    Depth: 4
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1886, 2, 1916, 28)    Name:     Handle: 0x0(0)    Depth: 3
        ControlType: ImageControl    ClassName:     AutomationId:     Rect: (14, 5, 78, 27)    Name:     Handle: 0x0(0)    Depth: 2
        ControlType: MenuBarControl    ClassName:     AutomationId:     Rect: (100, 3, 390, 28)    Name:     Handle: 0x0(0)    Depth: 2
            ControlType: MenuItemControl    ClassName:     AutomationId:     Rect: (100, 3, 135, 25)    Name: File    Handle: 0x0(0)    Depth: 3
            ControlType: MenuItemControl    ClassName:     AutomationId:     Rect: (135, 3, 173, 25)    Name: Edit    Handle: 0x0(0)    Depth: 3
            ControlType: MenuItemControl    ClassName:     AutomationId:     Rect: (173, 3, 221, 25)    Name: Tools    Handle: 0x0(0)    Depth: 3
            ControlType: MenuItemControl    ClassName:     AutomationId:     Rect: (221, 3, 264, 25)    Name: View    Handle: 0x0(0)    Depth: 3
            ControlType: MenuItemControl    ClassName:     AutomationId:     Rect: (264, 3, 318, 25)    Name: Export    Handle: 0x0(0)    Depth: 3
            ControlType: MenuItemControl    ClassName:     AutomationId:     Rect: (318, 3, 361, 25)    Name: Help    Handle: 0x0(0)    Depth: 3
        ControlType: TextControl    ClassName:     AutomationId:     Rect: (389, 3, 960, 28)    Name: Untitled:      Handle: 0x0(0)    Depth: 2
        ControlType: TextControl    ClassName:     AutomationId:     Rect: (959, 3, 1499, 28)    Name: 00:00:00:00    Handle: 0x0(0)    Depth: 2
        ControlType: TextControl    ClassName:     AutomationId:     Rect: (1498, 0, 1818, 30)    Name:     Handle: 0x0(0)    Depth: 2
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1692, 7, 1716, 23)    Name:     Handle: 0x0(0)    Depth: 3
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1726, 7, 1750, 23)    Name:     Handle: 0x0(0)    Depth: 3
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1794, 7, 1818, 23)    Name:     Handle: 0x0(0)    Depth: 3
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1760, 7, 1784, 23)    Name:     Handle: 0x0(0)    Depth: 3
    ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (0, 0, 1920, 31)    Name:     Handle: 0x919E8(596456)    Depth: 1
2018-10-24 14:36:34.437 Function: main, Line: 109 -> Ends

UIAutomation 1.1.8 (Python 3.6.5, 64 bit)
2018-10-24 14:36:53.755 Function: main, Line: 78 -> Starts, Current Cursor Position: (914, 461)
ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (0, 0, 1920, 1040)    Name: Wondershare Filmora 9    Handle: 0x101A7E(1055358)    Depth: 0
    ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (670, 388, 1230, 573)    Name: Wondershare Filmora 9    Handle: 0xD1A56(858710)    Depth: 1
        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (671, 389, 1229, 420)    Name:     Handle: 0x0(0)    Depth: 2
            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (671, 389, 1229, 420)    Name:     Handle: 0x0(0)    Depth: 3
                ControlType: TextControl    ClassName:     AutomationId:     Rect: (673, 391, 1231, 418)    Name: Wondershare Filmora 9    Handle: 0x0(0)    Depth: 4
                ControlType: TextControl    ClassName:     AutomationId:     Rect: (671, 389, 677, 403)    Name:     Handle: 0x0(0)    Depth: 4
                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1196, 391, 1227, 418)    Name:     Handle: 0x0(0)    Depth: 4
        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (671, 419, 1229, 568)    Name:     Handle: 0x0(0)    Depth: 2
            ControlType: TextControl    ClassName:     AutomationId:     Rect: (701, 449, 735, 493)    Name:     Handle: 0x0(0)    Depth: 3
            ControlType: EditControl    ClassName:     AutomationId:     Rect: (763, 454, 1209, 488)    Name:     Handle: 0x0(0)    Depth: 3    Value: project is modify, do you want to save project?
                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (763, 454, 1209, 488)    Name:     Handle: 0x0(0)    Depth: 4
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (895, 520, 993, 548)    Name: YES Enter    Handle: 0x0(0)    Depth: 3
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1003, 520, 1101, 548)    Name: NO    Handle: 0x0(0)    Depth: 3
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1111, 520, 1209, 548)    Name: CANCEL    Handle: 0x0(0)    Depth: 3
    ControlType: SplitButtonControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (0, 31, 1920, 1039)    Name:     Handle: 0x141994(1317268)    Depth: 1
        ControlType: ThumbControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (0, 716, 1920, 720)    Name:     Handle: 0x1019CC(1055180)    Depth: 2
        ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (0, 31, 1920, 716)    Name:     Handle: 0x31196A(3217770)    Depth: 2
            ControlType: SplitButtonControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (0, 31, 1920, 716)    Name:     Handle: 0x2B1820(2824224)    Depth: 3
                ControlType: ThumbControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (958, 31, 962, 716)    Name:     Handle: 0x5604A6(5637286)    Depth: 4
                ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (0, 31, 958, 716)    Name:     Handle: 0x2A18B6(2758838)    Depth: 4
                    ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 31, 958, 716)    Name:     Handle: 0x0(0)    Depth: 5
                        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 31, 958, 81)    Name:     Handle: 0x0(0)    Depth: 6
                            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (5, 36, 38, 75)    Name:     Handle: 0x0(0)    Depth: 7
